COUNTY,COUSUB,FIPS,NAME,2010_Total_Population,2010_White_Alone_Population,2010_Black_Alone_Population,2010_American_Indian_and_Alaska_Native_alone_population,2010_Asian_Alone_Population,2010_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2010_Any_other_single_race_alone_Popualtion,2010_Population_two_or_more_races,2010_Hispanic_or_Latino_Population,2020_Total_Population,2020_White_Alone_Population,2020_Black_Alone_Population,2020_American_Indian_and_Alaska_Native_alone_population,2020_Asian_Alone_Population,2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,2020_Any_other_single_race_alone_Popualtion,2020_Population_two_or_more_races,2020_Hispanic_or_Latino_Population,Change_2010_to_2020_Total_Population,Change_2010_to_2020_White_Alone_Population,Change_2010_to_2020_Black_Alone_Population,Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Change_2010_to_2020_Asian_Alone_Population,Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Change_2010_to_2020_Population_two_or_more_races,Change_2010_to_2020_Hispanic_or_Latino_Population,Percent_Change_2010_to_2020_Total_Population,Percent_Change_2010_to_2020_White_Alone_Population,Percent_Change_2010_to_2020_Black_Alone_Population,Percent_Change_2010_to_2020_American_Indian_and_Alaska_Native_alone_population,Percent_Change_2010_to_2020_Asian_Alone_Population,Percent_Change_2010_to_2020_Native_Hawaiian_and_Other_Pacific_Islander_alone_Population,Percent_Change_2010_to_2020_Any_other_single_race_alone_Popualtion,Percent_Change_2010_to_2020_Population_two_or_more_races,Percent_Change_2010_to_2020_Hispanic_or_Latino_Population
Beaver,32680,4200732680,Harmony township,3197,3052,76,0,23,2,5,39,40,3187,2814,140,5,34,3,24,167,65,-10,-238,64,5,11,1,19,128,25,-0.30%,-7.80%,84.20%,,47.80%,50.00%,380.00%,328.20%,62.50%
Beaver,35488,4200735488,Homewood borough,109,107,1,0,0,0,0,1,0,104,91,1,0,2,0,2,8,5,-5,-16,0,0,2,0,2,7,5,-4.60%,-15.00%,0.00%,,,,,700.00%,
Beaver,35576,4200735576,Hookstown borough,147,141,1,0,0,0,2,3,2,129,116,0,0,0,0,1,12,4,-18,-25,-1,0,0,0,-1,9,2,-12.20%,-17.70%,-100.00%,,,,-50.00%,300.00%,100.00%
Beaver,35640,4200735640,Hopewell township,12593,11918,466,11,45,0,18,135,145,13495,12083,512,5,127,0,114,654,325,902,165,46,-6,82,0,96,519,180,7.20%,1.40%,9.90%,-54.50%,182.20%,,533.30%,384.40%,124.10%
Beaver,36776,4200736776,Independence township,2503,2459,11,11,5,0,4,13,13,2248,2095,1,3,5,1,7,136,22,-255,-364,-10,-8,0,1,3,123,9,-10.20%,-14.80%,-90.90%,-72.70%,0.00%,,75.00%,946.20%,69.20%
Beaver,36944,4200736944,Industry borough,1835,1774,27,1,9,1,4,19,25,1838,1683,28,3,6,1,3,114,40,3,-91,1,2,-3,0,-1,95,15,0.20%,-5.10%,3.70%,200.00%,-33.30%,0.00%,-25.00%,500.00%,60.00%
Beaver,40400,4200740400,Koppel borough,762,732,16,0,2,0,2,10,13,712,658,9,1,1,0,9,34,9,-50,-74,-7,1,-1,0,7,24,-4,-6.60%,-10.10%,-43.80%,,-50.00%,,350.00%,240.00%,-30.80%
Beaver,47432,4200747432,Marion township,913,907,1,0,1,0,1,3,9,798,753,6,0,3,0,0,36,11,-115,-154,5,0,2,0,-1,33,2,-12.60%,-17.00%,500.00%,,200.00%,,-100.00%,1100.00%,22.20%
Beaver,49184,4200749184,Midland borough,2635,1960,534,7,7,0,19,108,114,2433,1793,396,4,20,0,41,179,119,-202,-167,-138,-3,13,0,22,71,5,-7.70%,-8.50%,-25.80%,-42.90%,185.70%,,115.80%,65.70%,4.40%
Beaver,50320,4200750320,Monaca borough,5737,5472,118,5,24,0,10,108,69,5625,5006,199,7,36,0,33,344,127,-112,-466,81,2,12,0,23,236,58,-2.00%,-8.50%,68.60%,40.00%,50.00%,,230.00%,218.50%,84.10%
